variable (GER),description,value,procedure,notes
Verlag,Anonymized name of the institution,free text,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,
Foerdervorgangsnummer,Anonymized application identification number,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,
Kosten Verlagsinterne Manuskriptpruefung (EUR),Net total in Euros for publishers internal manuscript review,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Kosten Qualitaetssicherung und Verwaltung (EUR),Net total in Euros for quality assurance and administration,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Kosten Editorial (EUR),Net total in Euros for editorial,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Kosten Lektorat (EUR),Net total in Euros for content editing,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Notiz Lektorat,Specification of content editing costs,free text,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Kosten Korrektorat (EUR),Net total in Euros for proofreading,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Notiz Korrektorat,Specification of proofreading costs,free text,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Kosten Uebersetzung (EUR),Net total in Euros for translation,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Notiz Uebersetzung,Specification of translation costs,free text,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Kosten Endkorrektorat Uebersetzung (EUR),Net total in Euros for final proofreading of translation,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Notiz Endkorrektorat Uebersetzung,Specification for final proofreading of translation costs,free text,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Technische Herstellungskosten (EUR),Net total in Euros for technical production,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Notiz Technische Herstellungskosten,Specification of technical production costs,free text,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
Kosten Satz- und Layouteinrichtung (EUR),Net total in Euros for typesetting and layout setup,number,data from the Publication Fund for Open Access Monographs of the Federal State of Brandenburg,if empty: not part of the publisher's publication cost breakdown
